A	B
[START]	[START]
ADD sodium hydride	ADD sodium hydride
ADD 1,2,4-triazole	ADD 1,2,4-triazole
ADD DMF	ADD DMF at 0°C
STIR at 25°C for 20 min	HEAT to 25°C for 2 h
ADD	QUENCH
STIR at 65°C for 2 h	ADD water
ADD water	EXTRACT with ethyl acetate
EXTRACT with ethyl acetate	WASH organic phase with water
WASH with water	DRY SOLUTION with MgSO4
DRY SOLUTION with MgSO4	CONCENTRATE
EVAPORATE solvent	PURIFY by chromatography
PURIFY by chromatography	YIELD: ethyl 6,7-dimethoxy-4-(3,4-dimethoxyphenyl)-2-(1,2,4-triazol-1-ylmethyl)quinoline-3-carboxylate
ELUTE	[END]
RECRYSTALLISATION with hexane	
YIELD: ethyl 6,7-dimethoxy-4-(3,4-dimethoxyphenyl)-2-(1,2,4-triazol-1-ylmethyl)quinoline-3-carboxylate	
[END]	
