A	B
[START]	[START]
COOL	ADD 9-((3ar,4r,6r,6ar)-2,2-dimethyl-6-((methyl(3-(2-(5-(oxetan-3-yl)-1h-benzo[d]imidazol-2-yl)ethyl)cyclobutyl)amino)methyl)tetrahydrofuro[3,4-d][1,3]dioxol-4-yl)-9h-purin-6-amine
ADD 9-((3ar,4r,6r,6ar)-2,2-dimethyl-6-((methyl(3-(2-(5-(oxetan-3-yl)-1h-benzo[d]imidazol-2-yl)ethyl)cyclobutyl)amino)methyl)tetrahydrofuro[3,4-d][1,3]dioxol-4-yl)-9h-purin-6-amine	ADD methanol
ADD TFA	ADD water
ADD water	ADD TFA
STIR at 0°C for 5 h	STIR at 0°C
REMOVE	ADD potassium carbonate
DISTIL	STIR at 25°C for 20 min
ADD methanol	LOAD
ADD potassium carbonate	WASH with water
ADD water	ELUTE
SET PH to 2	CONCENTRATE organic phase
STIR at 25°C for 20 min	YIELD: (2r,3r,4s,5r)-2-(6-amino-9h-purin-9-yl)-5-((methyl(3-(2-(5-(oxetan-3-yl)-1h-benzo[d]imidazol-2-yl)ethyl)cyclobutyl)amino)methyl)tetrahydrofuran-3,4-diol
SET PH to 10	[END]
ADD potassium carbonate	
SET PH to 10	
STIR for 20 min	
FILTER	
WASH with methanol	
CONCENTRATE filtrate	
PURIFY by chromatography	
YIELD: (2r,3r,4s,5r)-2-(6-amino-9h-purin-9-yl)-5-((methyl(3-(2-(5-(oxetan-3-yl)-1h-benzo[d]imidazol-2-yl)ethyl)cyclobutyl)amino)methyl)tetrahydrofuran-3,4-diol	
[END]	
