A	B
[START]	[START]
ADD ethyl 2-methyl-5-phenyl-3-furancarboxylate	ADD lithium aluminum hydride
ADD THF	ADD ethyl 2-methyl-5-phenyl-3-furancarboxylate
ADD lithium aluminum hydride at 0°C	ADD THF at < -10°C
STIR at 0°C for 20 min	ADD HCl for 20 min
ADD HCl	ADD water
ADD water	STIR at 25°C for 2 h
EXTRACT with ethyl acetate	EXTRACT with ethyl acetate
WASH organic phase with brine	WASH organic phase with brine
DRY SOLUTION with MgSO4	DRY SOLUTION with Na2SO4
EVAPORATE solvent	EVAPORATE
YIELD: (2-methyl-5-phenylfuran-3-yl)methanol	MAKE SOLUTION
[END]	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: (2-methyl-5-phenylfuran-3-yl)methanol
	[END]
