A	B
[START]	[START]
ADD THF	ADD THF
ADD borane-tetrahydrofuran complex	ADD borane-tetrahydrofuran complex
STIR at 0°C for 20 min	ADD THF
HEAT to 25°C for 16 h	STIR
COMBINE	ADD water
QUENCH with methanol	ADD
CONCENTRATE	EXTRACT with ethyl acetate
ADD water	WASH organic phase
EXTRACT with ethyl acetate	DRY SOLUTION
REPEAT 3 time(s)	FILTER
WASH organic phase with brine	CONCENTRATE
DRY SOLUTION with Na2SO4	PURIFY by chromatography
FILTER	YIELD: methyl 3-(hydroxymethyl)benzoate
CONCENTRATE	[END]
YIELD: methyl 3-(hydroxymethyl)benzoate	
[END]	
