A	B
[START]	[START]
ADD 2,2-difluoro-2-(4-isopropoxy-3-methylphenyl)acetic acid	ADD phosphoryl chloride
ADD pyridine	ADD pyridine
ADD phosphoryl chloride	ADD 2,2-difluoro-2-(4-isopropoxy-3-methylphenyl)acetic acid
STIR at 0°C	ADD pyridine
ADD	STIR at 0°C for 2 h
STIR at 0°C for 2 h	ADD 3-(5-(aminomethyl)-1-oxoisoindolin-2-yl)piperidine-2,6-dione hydrochloride
ADD 3-(5-(aminomethyl)-1-oxoisoindolin-2-yl)piperidine-2,6-dione hydrochloride	STIR at 65°C for 48 h
STIR at 25°C for 2 h	ADD NaHCO3
SET PH with NaHCO3 to 7	EXTRACT with ethyl ether
EXTRACT with ethyl acetate	REPEAT 3 time(s)
REPEAT 2 time(s)	DRY SOLUTION organic phase with MgSO4
WASH organic phase	FILTER
DRY SOLUTION with Na2SO4	CONCENTRATE
CONCENTRATE	PURIFY by chromatography
PURIFY by chromatography	PURIFY by chromatography
YIELD: n-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)methyl)-2,2-difluoro-2-(4-isopropoxy-3-methylphenyl)acetamide	YIELD: n-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)methyl)-2,2-difluoro-2-(4-isopropoxy-3-methylphenyl)acetamide
[END]	[END]
