A	B
[START]	[START]
ADD copper cyanide	ADD copper cyanide
ADD NMP	ADD NMP
HEAT to > 80°C for 48 h	ADD methanol
COOL to 25°C	STAND
ADD	ADD
COLLECT	HEAT to > 80°C for 16 h
ADD methanol	DISTIL
ADD chloroform	ADD DCM
MAKE SOLUTION with DCM	PHASE SEPARATION
STIR for 48 h	DRY SOLUTION organic phase with Na2SO4
ADD	FILTER
CONCENTRATE	CONCENTRATE
PURIFY by chromatography	PURIFY by chromatography
YIELD: 1-cycloheptyl-1h-benzo[d][1,2,3]triazole-4-carboxamide	SEPARATE
[END]	YIELD: 1-cycloheptyl-1h-benzo[d][1,2,3]triazole-4-carboxamide
	[END]
