A	B
[START]	[START]
ADD (3-pyridyl)vinyl borinic acid	ADD ethanol
ADD 8-hydroxyquinoline	ADD (3-pyridyl)vinyl borinic acid
ADD ethanol	ADD 8-hydroxyquinoline
STIR at 25°C for 20 min	MICROWAVE at > 80°C for 2 h
REMOVE solvent	COOL to 25°C
CRYSTALLISE with hexane	ADD
YIELD: (3-pyridyl)vinylborinic acid 8-hydroxyquinoline	SEPARATE aqueous phase
[END]	EXTRACT with ethyl acetate
	REPEAT 2 time(s)
	DRY SOLUTION organic phase with Na2SO4
	CONCENTRATE
	PURIFY by chromatography
	YIELD: (3-pyridyl)vinylborinic acid 8-hydroxyquinoline
	[END]
