A	B
[START]	[START]
ADD 2-[3,5-bis(trifluoromethyl)phenyl]-N-(6-chloro-4-iodo-3-pyridinyl)-N,2-dimethylpropanamide	ADD 2-[3,5-bis(trifluoromethyl)phenyl]-N-(6-chloro-4-iodo-3-pyridinyl)-N,2-dimethylpropanamide
ADD 5-fluoro-2-methylphenylboronic acid	ADD dioxane
ADD sodium carbonate	ADD sodium carbonate
ADD Pd(PPh3)4	ADD Pd(PPh3)4
ADD dioxane	ADD 5-fluoro-2-methylphenylboronic acid
HEAT to > 80°C for 20 min	BUBBLE N2
PARTITION	HEAT to > 80°C for 2 h
EXTRACT with ethyl acetate	FILTER
REPEAT 3 time(s)	CONCENTRATE
DRY SOLUTION extracts	PURIFY by chromatography
EVAPORATE	YIELD: 2-[3,5-bis(trifluoromethyl)phenyl]-n-[6-chloro-4-(5-fluoro-2-methylphenyl)-3-pyridinyl]-n,2-dimethylpropanamide
PURIFY by chromatography	[END]
YIELD: 2-[3,5-bis(trifluoromethyl)phenyl]-n-[6-chloro-4-(5-fluoro-2-methylphenyl)-3-pyridinyl]-n,2-dimethylpropanamide	
[END]	
