A	B
[START]	[START]
COOL	ADD ammonia
MAKE SOLUTION with DCM	ADD TFA
ADD TFA	ADD DCM
STIR for 2 h	STIR at 25°C for 16 h
SET PH with NH3 to 10	MAKE SOLUTION with DCM
STIR for 48 h	ADD
EXTRACT with methanol/dichloromethane	STIR at 25°C
COMBINE organic phase	EXTRACT with dichloromethane
DRY SOLUTION with Na2SO4	WASH with NH3
FILTER	COMBINE organic phase
CONCENTRATE	DRY SOLUTION with Na2SO4
PURIFY by chromatography	CONCENTRATE
YIELD: 2-(3-(4-(1h-pyrrolo[2,3-b]pyridin-4-yl)-1h-pyrazol-1-yl)-1-(3,3,3-trifluoropropylsulfonyl)azetidin-3-yl)acetonitrile	PURIFY by chromatography
[END]	YIELD: 2-(3-(4-(1h-pyrrolo[2,3-b]pyridin-4-yl)-1h-pyrazol-1-yl)-1-(3,3,3-trifluoropropylsulfonyl)azetidin-3-yl)acetonitrile
	[END]
