A	B
[START]	[START]
ADD tert-butyl [3-({(1r)-1-[1-benzyl-4-(2,5-difluorophenyl)-1h-imidazol-2-yl]-2,2-dimethylpropyl}amino)-2-({[tert-butyl(dimethyl)silyl]oxy}methyl)propyl]carbamate	ADD DCM
ADD DCM	ADD tert-butyl [3-({(1r)-1-[1-benzyl-4-(2,5-difluorophenyl)-1h-imidazol-2-yl]-2,2-dimethylpropyl}amino)-2-({[tert-butyl(dimethyl)silyl]oxy}methyl)propyl]carbamate
ADD triethylamine	ADD triethylamine
ADD acetoxyacetyl chloride	ADD acetoxyacetyl chloride
STIR at 25°C for 2 h	COOL to 0°C
WASH	ADD
DRY SOLUTION organic phase with Na2SO4	HEAT to 25°C for 2 h
CONCENTRATE	QUENCH with HCl
PURIFY by chromatography	EXTRACT with ethyl acetate
YIELD: 2-({(1r)-1-[1-benzyl-4-(2,5-difluorophenyl)-1h-imidazol-2-yl]-2,2-dimethylpropyl}{3-[(tert-butoxycarbonyl)amino]-2-({[tert-butyl(dimethyl)silyl]oxy}methyl)propyl}amino)-2-oxoethyl acetate	EVAPORATE
[END]	ADD
	EXTRACT with ethyl ether
	WASH
	DRY SOLUTION
	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: 2-({(1r)-1-[1-benzyl-4-(2,5-difluorophenyl)-1h-imidazol-2-yl]-2,2-dimethylpropyl}{3-[(tert-butoxycarbonyl)amino]-2-({[tert-butyl(dimethyl)silyl]oxy}methyl)propyl}amino)-2-oxoethyl acetate
	[END]
