A	B
[START]	[START]
ADD potassium tert-butoxide	ADD 1-bromo-4-(4-bromo-3-fluorobutyl)benzene
ADD THF	ADD THF
ADD 1-bromo-4-(4-bromo-3-fluorobutyl)benzene	ADD potassium tert-butoxide at 0°C
ADD at 0°C	ADD
STIR at 25°C for 2 h	STIR for 20 min
ADD	PARTITION
EXTRACT with ethyl acetate	WASH organic phase
REPEAT 2 time(s)	DRY SOLUTION with Na2SO4
DRY SOLUTION extracts with MgSO4	CONCENTRATE
CONCENTRATE	PURIFY by chromatography
PURIFY by chromatography	YIELD: 1-bromo-4-(3-fluorobut-3-en-1-yl)benzene
YIELD: 1-bromo-4-(3-fluorobut-3-en-1-yl)benzene	[END]
[END]	
