A	B
[START]	[START]
ADD potassium carbonate	ADD acetone
ADD acetone	ADD ethyl iodide
ADD ethyl iodide at 25°C	ADD potassium carbonate
CONCENTRATE residue	STIR at 25°C for 16 h
PARTITION	FILTER
DRY SOLUTION	EVAPORATE filtrate
EVAPORATE residue	MAKE SOLUTION
PURIFY by chromatography	ADD oxalic acid
ADD oxalic acid	RECRYSTALLISATION
CRYSTALLISE	YIELD: .alpha.-(methoxyimino)-.alpha.-(1-ethyl-1,2,5,6-tetrahydropyridin-3-yl) acetonitrile
YIELD: .alpha.-(methoxyimino)-.alpha.-(1-ethyl-1,2,5,6-tetrahydropyridin-3-yl) acetonitrile	[END]
[END]	
