A	B
[START]	[START]
ADD methanol	ADD methanol
STIR at 25°C for 2 h	ADD water
ADD water	STIR at 25°C for 2 h
EXTRACT with ethyl acetate	CONCENTRATE
WASH organic phase with brine	PARTITION
DRY SOLUTION with MgSO4	DRY SOLUTION organic phase with MgSO4
EVAPORATE solvent	FILTER
PURIFY by chromatography	CONCENTRATE
YIELD: ethyl 3-{[(4-{[(4-hydroxycyclohexyl)(2-methyl-5-phenylfuran-3-yl)methyl]amino}phenyl)carbonyl](methyl)amino}propanoate	PURIFY by chromatography
[END]	YIELD: ethyl 3-{[(4-{[(4-hydroxycyclohexyl)(2-methyl-5-phenylfuran-3-yl)methyl]amino}phenyl)carbonyl](methyl)amino}propanoate
	[END]
