A	B
[START]	[START]
ADD [(1S,2S,4R)-2-hydroxy-4-({8-[(3-methylphenyl)sulfanyl]-9H-purin-6-yl}oxy)cyclopentyl]methyl sulfamate	ADD [(1S,2S,4R)-2-hydroxy-4-({8-[(3-methylphenyl)sulfanyl]-9H-purin-6-yl}oxy)cyclopentyl]methyl sulfamate
ADD methanol	ADD methanol
ADD water at 0°C	ADD water
STIR at 0°C for 5 h	STIR at 25°C for 2 h
HEAT to 25°C for 48 h	REMOVE solvent
PARTITION	YIELD: [(1s,2s,4r)-2-hydroxy-4-({8-[(3-methylphenyl)sulfonyl]-9h-purin-6-yl}-oxy)cyclopentyl]methyl sulfamate
SEPARATE	[END]
EXTRACT	
WASH organic phase	
DRY SOLUTION with Na2SO4	
FILTER	
COLLECT	
PURIFY by chromatography	
YIELD: [(1s,2s,4r)-2-hydroxy-4-({8-[(3-methylphenyl)sulfonyl]-9h-purin-6-yl}-oxy)cyclopentyl]methyl sulfamate	
[END]	
