A	B
[START]	[START]
ADD N,N-dimethylglycine	ADD N,N-dimethylglycine
ADD HOAt	ADD HOAt
ADD N-(3-dimethylaminopropyl)-N′-ethylcarbodiimide hydrochloride	ADD N-(3-dimethylaminopropyl)-N′-ethylcarbodiimide hydrochloride
ADD N-methylmorpholine	ADD anhydrous DCM
ADD anhydrous DCM	ADD N-methylmorpholine
STIR at 25°C for 16 h	STIR at 25°C for 16 h
REMOVE residue	ADD N,N-dimethylglycine
PURIFY by chromatography	STIR for 16 h
TRITURATE with ethyl ether	QUENCH with NaHCO3
YIELD: 1-((r)-3-(2-((s)-1-(9h-purin-6-ylamino)ethyl)-1h-benzo[d]imidazol-1-yl)piperidin-1-yl)-2-(dimethylamino)ethanone	EXTRACT with dichloromethane
[END]	REPEAT 2 time(s)
	DRY SOLUTION with Na2SO4
	CONCENTRATE
	MAKE SOLUTION
	STIR for 2 h
	REMOVE
	PURIFY by chromatography
	YIELD: 1-((r)-3-(2-((s)-1-(9h-purin-6-ylamino)ethyl)-1h-benzo[d]imidazol-1-yl)piperidin-1-yl)-2-(dimethylamino)ethanone
	[END]
