A	B
[START]	[START]
ADD (5-(aminomethyl)-6-methoxy-4-methylpyridin-2-yl)methanol	ADD EDC
ADD 6-bromo-1-isopropyl-3-methyl-1H-indole-4-carboxylic acid	ADD (5-(aminomethyl)-6-methoxy-4-methylpyridin-2-yl)methanol
ADD HOAt	ADD DCM
ADD DCM	ADD DMF
ADD DMF	ADD 6-bromo-1-isopropyl-3-methyl-1H-indole-4-carboxylic acid
ADD EDC	ADD HOAt
STIR at 25°C for 2 h	STIR at 25°C for 16 h
EVAPORATE	REMOVE solvent
PURIFY by chromatography	MAKE SOLUTION
YIELD: 6-bromo-n-((6-(hydroxymethyl)-2-methoxy-4-methylpyridin-3-yl)methyl)-1-isopropyl-3-methyl-1h-indole-4-carboxamide	PURIFY by chromatography
[END]	TRITURATE with hexane
	FILTER
	WASH with brine
	REPEAT 1 time(s)
	CONCENTRATE
	YIELD: 6-bromo-n-((6-(hydroxymethyl)-2-methoxy-4-methylpyridin-3-yl)methyl)-1-isopropyl-3-methyl-1h-indole-4-carboxamide
	[END]
