A	B
[START]	[START]
ADD phenyllithium	ADD THF
ADD diethyl ether at 0°C	ADD tert-butyl 2-(4-methyl-phenyl)-2-oxo-acetate
ADD tert-butyl 2-(4-methyl-phenyl)-2-oxo-acetate	ADD diethyl ether
ADD THF	COOL to < -10°C
STIR	ADD phenyllithium
STIR at 25°C for 2 h	ADD
ADD diethyl ether	ADD acetic acid at < -10°C
ADD water	HEAT to 25°C
STIR	STIR for 2 h
SET PH with AcOH	ADD water
EXTRACT with ethyl ether	QUENCH
REPEAT 3 time(s)	SEPARATE organic phase
DRY SOLUTION organic phase with Na2SO4	WASH
CONCENTRATE	DRY SOLUTION with MgSO4
PURIFY by chromatography	FILTER
YIELD: tert-butyl 2-(4-methyl-phenyl)-2-phenyl-2-hydroxy-acetate	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: tert-butyl 2-(4-methyl-phenyl)-2-phenyl-2-hydroxy-acetate
	[END]
