A	B
[START]	[START]
ADD benzyl-2-chloro-1-methyl-dihydro-1,6,7-triaza-as-indacene-3-carboxylic acid ethyl ester	ADD benzyl-2-chloro-1-methyl-dihydro-1,6,7-triaza-as-indacene-3-carboxylic acid ethyl ester
ADD ethanol	ADD potassium hydroxide
ADD potassium hydroxide	ADD ethanol
REFLUX for 16 h	STIR at 25°C for 48 h
COOL to 25°C	EVAPORATE
EVAPORATE solvent	MAKE SOLUTION with DCM
MAKE SOLUTION with water	WASH with HCl
WASH with dichloromethane	DRY SOLUTION with MgSO4
SET PH with HCl to 2	EVAPORATE solvent
FILTER	PURIFY by chromatography
WASH with water	COMBINE fractions
DRY	EVAPORATE
YIELD: benzyl-2-chloro-1-methyl-dihydro-1,6,7-triaza-as-indacene-3-carboxylic acid	YIELD: benzyl-2-chloro-1-methyl-dihydro-1,6,7-triaza-as-indacene-3-carboxylic acid
[END]	[END]
