A	B
[START]	[START]
ADD Raney nickel	ADD 6-fluoro-5-methoxy-2-methyl-3-(phenylthio)-1h-indole
ADD water	ADD Raney nickel
ADD ethanol	ADD ethanol
ADD 6-fluoro-5-methoxy-2-methyl-3-(phenylthio)-1h-indole	REFLUX for 16 h
HEAT to > 80°C for 5 h	ADD water
COOL to 25°C	SET PH to 10
FILTER	EXTRACT with ethyl acetate
WASH with ethyl acetate	REPEAT 3 time(s)
REPEAT 3 time(s)	COMBINE organic phase
CONCENTRATE	DRY SOLUTION with Na2SO4
PURIFY by chromatography	CONCENTRATE
YIELD: 6-fluoro-5-methoxy-2-methyl-1h-indole	PURIFY by chromatography
[END]	YIELD: 6-fluoro-5-methoxy-2-methyl-1h-indole
	[END]
