A	B
[START]	[START]
ADD THF	ADD THF
ADD NaHMDS at < -10°C	ADD NaHMDS
ADD allyl bromide for 20 min	ADD at 0°C
QUENCH with ammonium chloride	STIR at 0°C for 20 min
STAND at 25°C	ADD allyl bromide
EXTRACT with ethyl acetate	HEAT to 25°C
REPEAT 3 time(s)	STIR for 20 min
DRY SOLUTION organic phase with MgSO4	ADD ethyl acetate
FILTER	WASH organic phase with brine
CONCENTRATE	DRY SOLUTION with Na2SO4
PURIFY by chromatography	FILTER
YIELD: (4r,5s)-3-((s)-2-allylhexanoyl)-4-methyl-5-phenyloxazolidin-2-one	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: (4r,5s)-3-((s)-2-allylhexanoyl)-4-methyl-5-phenyloxazolidin-2-one
	[END]
