A	B
[START]	[START]
ADD ethyl iodoacetate	ADD toluene
ADD toluene	ADD silver carbonate
ADD silver carbonate	ADD ethyl iodoacetate
STIR for 16 h	HEAT to > 80°C for 48 h
ADD ethyl acetate	COOL to 25°C
ADD	ADD ethyl acetate
SEPARATE	WASH with water
DRY	DRY SOLUTION organic phase with MgSO4
REMOVE solvent	EVAPORATE
PURIFY by chromatography	YIELD: ethyl {[6-({[2-(4-chlorophenyl)-1,3-thiazol-4-yl]methyl}thio)-3,5-dicyano-4-(piperidin-1-yl)pyridin-2-yl]oxy}acetate
YIELD: ethyl {[6-({[2-(4-chlorophenyl)-1,3-thiazol-4-yl]methyl}thio)-3,5-dicyano-4-(piperidin-1-yl)pyridin-2-yl]oxy}acetate	[END]
[END]	
