A	B
[START]	[START]
ADD 2-chloro-5-methyl-pyrimidin-4-ylamine	ADD 2-chloro-5-methyl-pyrimidin-4-ylamine
ADD 4-(morpholinomethyl)aniline	ADD 4-(morpholinomethyl)aniline
ADD acetic acid	ADD acetic acid
HEAT to 65°C for 16 h	REFLUX for 16 h
COOL to 25°C	REMOVE
CONCENTRATE	ADD NaOH
COLLECT residue	EXTRACT with ethyl acetate
SET PH with NaOH	DRY SOLUTION organic phase with Na2SO4
EXTRACT with ethyl acetate	CONCENTRATE
REPEAT 2 time(s)	RECRYSTALLISATION with ethyl acetate
WASH with brine	YIELD: 5-methyl-n2-(4-morpholin-4-ylmethyl-phenyl)-pyrimidine-2,4-diamine
DRY SOLUTION with Na2SO4	[END]
FILTER	
CONCENTRATE	
YIELD: 5-methyl-n2-(4-morpholin-4-ylmethyl-phenyl)-pyrimidine-2,4-diamine	
[END]	
