A	B
[START]	[START]
ADD 4-ethynylaniline	ADD 4-ethynylaniline
ADD 4-nitrophenyl chloroformate	ADD 4-nitrophenyl chloroformate
ADD THF	ADD THF
STIR at 25°C for 2 h	ADD 2-(2-(2-aminoethoxy)ethoxy)ethanol
DISTIL	ADD triethylamine at 25°C
ADD DCM	STAND for 48 h
ADD 2-(2-(2-aminoethoxy)ethoxy)ethanol	CONCENTRATE residue
ADD triethylamine	ADD DCM
STIR at 25°C for 48 h	WASH
DISTIL	DRY SOLUTION organic phase with MgSO4
PURIFY by chromatography	FILTER
YIELD: 1-(4-ethynylphenyl)-3-{2-[2-(2-hydroxyethoxy)ethoxy]ethyl}urea	CONCENTRATE
[END]	YIELD: 1-(4-ethynylphenyl)-3-{2-[2-(2-hydroxyethoxy)ethoxy]ethyl}urea
	[END]
