A	B
[START]	[START]
ADD 2-phenyl-2-(phenylsulfonyl)acetic acid	ADD 2-phenyl-2-(phenylsulfonyl)acetic acid
ADD DCM	ADD DCM
ADD	ADD oxalyl chloride
ADD oxalyl chloride	STIR at 25°C for 2 h
STIR at 25°C for 2 h	CONCENTRATE
ADD 5-aminotetrazole monohydrate	MAKE SOLUTION
ADD DCM	ADD 5-aminotetrazole monohydrate
MAKE SOLUTION with DIPEA	ADD DIPEA
STIR for 20 min	STIR
ADD	ADD
STIR at 25°C for 16 h	WASH
CONCENTRATE	REPEAT 2 time(s)
REMOVE	DRY SOLUTION organic phase with Na2SO4
MAKE SOLUTION	CONCENTRATE
PURIFY by chromatography	PURIFY by chromatography
YIELD: 2-phenyl-2-(phenylsulfonyl)-n-(1h-tetrazol-5-yl)acetamide	YIELD: 2-phenyl-2-(phenylsulfonyl)-n-(1h-tetrazol-5-yl)acetamide
[END]	[END]
