A	B
[START]	[START]
ADD chlorosulfonic acid	ADD phenol
ADD DCM	ADD PCl5
ADD 8-aminoquinoline	COOL to 0°C
ADD triethylamine	ADD triethylamine
ADD at 0°C	ADD DCM
STIR for 20 min	ADD chlorosulfonic acid
ADD PCl5	ADD 8-aminoquinoline
HEAT to 25°C	STIR at 25°C for 48 h
STIR	EVAPORATE
ADD	PURIFY by chromatography
HEAT to 65°C for 2 h	YIELD: quinolin-8-yl-sulfamic acid phenyl ester
ADD phenol	[END]
COOL to 25°C	
ADD triethylamine	
STIR at 25°C for 48 h	
ADD water	
EXTRACT with dichloromethane	
DRY SOLUTION organic phase with Na2SO4	
CONCENTRATE	
PURIFY by chromatography	
YIELD: quinolin-8-yl-sulfamic acid phenyl ester	
[END]	
