A	B
[START]	[START]
COMBINE	ADD triethylamine
STIR at 25°C for 5 h	ADD 6-[4-(2-oxo-2,3-dihydroimidazo[4,5-b]pyridin-1-yl)-piperidin-1-yl]-pyrimidine-4-carboxylic acid
PURIFY by chromatography	ADD TBTU
COMBINE fractions	ADD DMF
DRY [FREEZE-DRYING]	STIR at 25°C for 20 min
YIELD: 1-{1-[6-(3-hydroxymethyl-2,3-dihydro-indole-1-carbonyl)-pyrimidin-4-yl]-piperidin-4-yl}-1,3-dihydro-imidazo[4,5-b]pyridin-2-one	ADD (2,3-dihydro-1H-indol-3-yl)-methanol at 25°C
[END]	STIR at 25°C for 16 h
	PARTITION with NaHCO3
	DRY SOLUTION with MgSO4
	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: 1-{1-[6-(3-hydroxymethyl-2,3-dihydro-indole-1-carbonyl)-pyrimidin-4-yl]-piperidin-4-yl}-1,3-dihydro-imidazo[4,5-b]pyridin-2-one
	[END]
