A	B
[START]	[START]
ADD tert-butyl 4-(4-methylthiazol-2-yl)piperazine-1-carboxylate	ADD tert-butyl 4-(4-methylthiazol-2-yl)piperazine-1-carboxylate
ADD dioxane	ADD HCl
ADD HCl	ADD dioxane at 25°C
ADD at 25°C	STIR at 25°C for 16 h
STIR for 2 h	COOL to 0°C
CONCENTRATE	SET PH to 10
TRITURATE with ethyl ether	ADD
FILTER	EXTRACT with ethyl acetate
DRY [VACUUM]	DRY SOLUTION extracts with Na2SO4
YIELD: 4-methyl-2-(piperazin-1-yl)thiazole hydrochloride	FILTER
[END]	CONCENTRATE
	PURIFY by chromatography
	YIELD: 4-methyl-2-(piperazin-1-yl)thiazole hydrochloride
	[END]
