A	B
[START]	[START]
ADD 2-chloro-5-(chloromethyl)pyridine	ADD 2-chloro-5-(chloromethyl)pyridine
ADD DCM	ADD 3-chloroperbenzoic acid
ADD 3-chloroperbenzoic acid	ADD DCM at 0°C
ADD	STIR at 25°C for 48 h
HEAT to 25°C	QUENCH with water
STIR	EXTRACT with dichloromethane
ADD	REPEAT 3 time(s)
FILTER	WASH organic phase with brine
WASH organic phase	DRY SOLUTION with Na2SO4
DRY SOLUTION organic phase	CONCENTRATE
FILTER	PURIFY by chromatography
EVAPORATE	YIELD: 2-chloro-5-(chloromethyl)-pyridine 1-oxide
CRYSTALLISE	[END]
YIELD: 2-chloro-5-(chloromethyl)-pyridine 1-oxide	
[END]	
