A	B
[START]	[START]
ADD 4-[3-(6-bromo-hexyl)-2-(2-ethoxycarbonyl-ethyl)-phenoxy]-butyric acid ethyl ester	ADD DMF
ADD 3-iodo-5-methanesulfonyl-phenol	ADD 3-iodo-5-methanesulfonyl-phenol
ADD potassium carbonate	ADD acetone
ADD DMF	ADD potassium carbonate
ADD acetone at 25°C	ADD
REFLUX for 48 h	ADD 4-[3-(6-bromo-hexyl)-2-(2-ethoxycarbonyl-ethyl)-phenoxy]-butyric acid ethyl ester
COOL to 25°C	REFLUX for 6 days
ADD water	ADD water
EXTRACT with ethyl acetate	EXTRACT with ethyl ether
REPEAT 3 time(s)	WASH extracts
WASH extracts	DRY SOLUTION
DRY SOLUTION organic phase with MgSO4	FILTER
FILTER	EVAPORATE
CONCENTRATE	PURIFY by chromatography
PURIFY by chromatography	YIELD: 4-{2-(2-ethoxycarbonyl-ethyl)-3-[6-(3-iodo-5-methanesulfonyl-phenoxy)-hexyl]-phenoxy}-butyric acid ethyl ester
YIELD: 4-{2-(2-ethoxycarbonyl-ethyl)-3-[6-(3-iodo-5-methanesulfonyl-phenoxy)-hexyl]-phenoxy}-butyric acid ethyl ester	[END]
[END]	
