A	B
[START]	[START]
ADD 6-(piperidin-4-ylamino)-pyridazine-3-carbonitrile	ADD 3-chlorobenzyl bromide
ADD 3-chlorobenzyl bromide	ADD 6-(piperidin-4-ylamino)-pyridazine-3-carbonitrile
ADD diisopropylethylamine	ADD acetonitrile
ADD acetonitrile	ADD diisopropylethylamine
STIR at > 80°C for 20 min	BUBBLE N2
ADD DCM	HEAT to 65°C
EXTRACT with Na2CO3	STIR for 5 h
SEPARATE organic phase	EVAPORATE
DRY SOLUTION with Na2SO4	MAKE SOLUTION with DCM
FILTER	WASH organic phase with brine
EVAPORATE solvent	DRY SOLUTION with Na2SO4
PURIFY by chromatography	FILTER
COLLECT fractions	CONCENTRATE
EVAPORATE	PURIFY by chromatography
TRITURATE	YIELD: 6-[1-(3-chloro-benzyl)-piperidin-4-ylamino]-pyridazine-3-carbonitrile
YIELD: 6-[1-(3-chloro-benzyl)-piperidin-4-ylamino]-pyridazine-3-carbonitrile	[END]
[END]	
