A	B
[START]	[START]
ADD ethyl 3-(bromomethyl)picolinate	ADD sodium azide
ADD 3-methylpicolinic acid	ADD 3-methylpicolinic acid
ADD ethanol	ADD ethyl 3-(bromomethyl)picolinate
ADD sodium azide	STIR at 25°C for 2 h
ADD water	ADD ethanol
STIR at 65°C for 2 h	STIR at > 80°C for 16 h
CONCENTRATE	EVAPORATE
PARTITION	ADD water
WASH organic phase with brine	EXTRACT with ethyl acetate
REPEAT 1 time(s)	REPEAT 3 time(s)
DRY SOLUTION with Na2SO4	WASH with brine
FILTER	REPEAT 2 time(s)
CONCENTRATE	DRY SOLUTION organic phase with MgSO4
YIELD: ethyl 3-(azidomethyl)picolinate	FILTER
[END]	CONCENTRATE
	PURIFY by chromatography
	YIELD: ethyl 3-(azidomethyl)picolinate
	[END]
