A	B
[START]	[START]
ADD methyl 2-methyl-5-(4-morpholinyl)-1h-benzimidazole-7-carboxylate	ADD methyl 2-methyl-5-(4-morpholinyl)-1h-benzimidazole-7-carboxylate
ADD 1-(bromomethyl)-2-fluoro-3-methylbenzene	ADD 1-(bromomethyl)-2-fluoro-3-methylbenzene
ADD DMF	ADD DMF at 25°C
STIR at 65°C for 16 h	STIR at 65°C for 2 h
COOL	COOL to 25°C
ADD water	ADD
EXTRACT with ethyl acetate	WASH with water
REPEAT 3 time(s)	DRY SOLUTION with Na2SO4
DRY SOLUTION organic phase with Na2SO4	FILTER
CONCENTRATE	CONCENTRATE
PURIFY by chromatography	PURIFY by chromatography
YIELD: methyl 1-[(2-fluoro-3-methylphenyl)methyl]-2-methyl-6-(4-morpholinyl)-1h-benzimidazole-4-carboxylate	YIELD: methyl 1-[(2-fluoro-3-methylphenyl)methyl]-2-methyl-6-(4-morpholinyl)-1h-benzimidazole-4-carboxylate
[END]	[END]
