A	B
[START]	[START]
ADD 1-(2-methyl-3-((6-(methylsulfonyl)pyridin-3-yl)methyl)-1H-pyrrolo[3,2-b]pyridin-5-yl)ethan-1-one	ADD DCM
ADD triethylamine	ADD triethylamine
ADD Boc2O	ADD Boc2O
ADD DCM	ADD 1-(2-methyl-3-((6-(methylsulfonyl)pyridin-3-yl)methyl)-1H-pyrrolo[3,2-b]pyridin-5-yl)ethan-1-one
STIR at 25°C for 48 h	STIR at 25°C for 16 h
PARTITION	ADD water
WASH organic phase with water	EXTRACT with ethyl acetate
DRY SOLUTION with Na2SO4	DRY SOLUTION organic phase with Na2SO4
CONCENTRATE	FILTER
PURIFY by chromatography	CONCENTRATE
YIELD: tert-butyl 5-acetyl-2-methyl-3-((6-(methylsulfonyl)pyridin-3-yl)methyl)-1h-pyrrolo[3,2-b]pyridine-1-carboxylate	PURIFY by chromatography
[END]	YIELD: tert-butyl 5-acetyl-2-methyl-3-((6-(methylsulfonyl)pyridin-3-yl)methyl)-1h-pyrrolo[3,2-b]pyridine-1-carboxylate
	[END]
