A	B
[START]	[START]
ADD TFA	ADD DCM
ADD tert-butyl[(R)-2-(3-cyclohexyl-3-pentylazetidin-1-yl)-1-(4-methoxybenzyl)-2-oxoethyl]carbamate at 0°C	ADD tert-butyl[(R)-2-(3-cyclohexyl-3-pentylazetidin-1-yl)-1-(4-methoxybenzyl)-2-oxoethyl]carbamate
MAKE SOLUTION with DCM	ADD TFA
EVAPORATE solvent	STIR at 25°C for 20 min
ADD DCM	EVAPORATE solvent
WASH	RECRYSTALLISATION with ethyl acetate
COMBINE organic phase	YIELD: (r)-2-amino-1-(3-cyclohexyl-3-pentylazetidin-1-yl)-3-(4-methoxyphenyl)propan-1-one
DRY SOLUTION with MgSO4	[END]
FILTER	
CONCENTRATE	
YIELD: (r)-2-amino-1-(3-cyclohexyl-3-pentylazetidin-1-yl)-3-(4-methoxyphenyl)propan-1-one	
[END]	
