A	B
[START]	[START]
ADD THF	ADD THF
ADD TBAF	ADD TBAF
ADD	STIR at 25°C for 16 h
STIR at 0°C for 2 h	QUENCH with ammonium chloride
ADD water	ADD ethyl acetate
ADD ethyl acetate	ADD water
EXTRACT with ethyl acetate	SEPARATE
WASH organic phase with brine	EXTRACT with ethyl acetate
DRY SOLUTION with MgSO4	REPEAT 3 time(s)
FILTER	WASH organic phase with brine
CONCENTRATE	DRY SOLUTION with Na2SO4
RECRYSTALLISATION	FILTER
YIELD: (rs)-6-[5-(2-hydroxy-ethyl)-2-oxa-oxazolidin-3-yl]-4h-benzo[1,4]thiazin-3-one	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: (rs)-6-[5-(2-hydroxy-ethyl)-2-oxa-oxazolidin-3-yl]-4h-benzo[1,4]thiazin-3-one
	[END]
