A	B
[START]	[START]
ADD n-(4-(5-(difluoromethyl)-1,3,4-oxadiazol-2-yl)benzyl)-n-phenylethenesulfonamide	ADD n-(4-(5-(difluoromethyl)-1,3,4-oxadiazol-2-yl)benzyl)-n-phenylethenesulfonamide
ADD 3,3-difluoroazetidine hydrochloride	ADD 3,3-difluoroazetidine hydrochloride
ADD DIPEA	ADD DIPEA
ADD DCM	ADD DCM
STIR at 25°C for 16 h	STIR at 25°C for 16 h
ADD water	ADD water
EXTRACT with dichloromethane	EXTRACT with dichloromethane
WASH organic phase	WASH organic phase
DRY SOLUTION with MgSO4	DRY SOLUTION with MgSO4
FILTER	FILTER
CONCENTRATE	CONCENTRATE
PURIFY by chromatography	PURIFY by chromatography
YIELD: 2-(3,3-difluoroazetidin-1-yl)-n-(4-(5-(difluoromethyl)-1,3,4-oxadiazol-2-yl)benzyl)-n-phenylethane-1-sulfonamide	YIELD: 2-(3,3-difluoroazetidin-1-yl)-n-(4-(5-(difluoromethyl)-1,3,4-oxadiazol-2-yl)benzyl)-n-phenylethane-1-sulfonamide
[END]	[END]
