A	B
[START]	[START]
ADD (r)-2-(4-amino-3-methyl-5-nitro-phenyl)-1-methoxycarbonyl-ethyl 4-(2-oxo-1,2,4,5-tetrahydro-1,3-benzodiazepin-3-yl)-piperidine-1-carboxylate	ADD (r)-2-(4-amino-3-methyl-5-nitro-phenyl)-1-methoxycarbonyl-ethyl 4-(2-oxo-1,2,4,5-tetrahydro-1,3-benzodiazepin-3-yl)-piperidine-1-carboxylate
ADD formic acid	ADD formic acid
COMBINE	ADD Pd / C
ADD at 65°C for 2 h	STIR for 16 h
FILTER	REMOVE solvent
EVAPORATE filtrate	MAKE SOLUTION
PURIFY by chromatography	ADD
YIELD: (r)-1-methoxycarbonyl-2-(7-methyl-1h-benzimidazol-5-yl)-ethyl 4-(2-oxo-1,2,4,5-tetrahydro-1,3-benzodiazepin-3-yl)-piperidine-1-carboxylate	STIR for 5 h
[END]	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: (r)-1-methoxycarbonyl-2-(7-methyl-1h-benzimidazol-5-yl)-ethyl 4-(2-oxo-1,2,4,5-tetrahydro-1,3-benzodiazepin-3-yl)-piperidine-1-carboxylate
	[END]
