A	B
[START]	[START]
ADD 1-{4-[3-(6-bromo-quinazolin-4-yl)-benzoyl]-piperazin-1-yl}-ethanone	ADD 1-{4-[3-(6-bromo-quinazolin-4-yl)-benzoyl]-piperazin-1-yl}-ethanone
ADD 2-methoxy-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine-3-carbonitrile	ADD 2-methoxy-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine-3-carbonitrile
ADD Pd(PPh3)4	ADD DME
ADD DME	ADD Na2CO3
BUBBLE Na2CO3	ADD Pd(PPh3)4
ADD	HEAT to > 80°C for 48 h
HEAT to > 80°C for 20 min	COOL to 25°C
COOL to 25°C	ADD ethyl acetate
ADD ethyl acetate	WASH with brine
FILTER	REPEAT 3 time(s)
WASH organic phase with brine	DRY SOLUTION organic phase with Na2SO4
DRY SOLUTION with MgSO4	CONCENTRATE
FILTER	PURIFY by chromatography
EVAPORATE	YIELD: 5-{4-[3-(4-acetyl-piperazine-1-carbonyl)-phenyl]-quinazolin-6-yl}-2-methoxy-nicotinonitrile
PURIFY by chromatography	[END]
SET PH [NEUTRALISE]	
YIELD: 5-{4-[3-(4-acetyl-piperazine-1-carbonyl)-phenyl]-quinazolin-6-yl}-2-methoxy-nicotinonitrile	
[END]	
