A	B
[START]	[START]
ADD mixture of tert-butyl({1-[(5-bromopyridin-3-yl)sulfonyl]-5-phenyl-1H-pyrrol-3-yl}methyl)methylcarbamate	ADD mixture of tert-butyl({1-[(5-bromopyridin-3-yl)sulfonyl]-5-phenyl-1H-pyrrol-3-yl}methyl)methylcarbamate
ADD zinc cyanide	ADD Pd(PPh3)4
ADD DMF	ADD zinc cyanide
DEGAS	ADD DMF
ADD Pd(PPh3)4	DEGAS
STIR at > 80°C for 2 h	ADD at > 80°C for 2 h
COOL to 25°C	COOL to 25°C
ADD	FILTER
EXTRACT with ethyl acetate	EVAPORATE
WASH extracts with brine	MAKE SOLUTION with hydrogen chloride-ethyl acetate
DRY SOLUTION with MgSO4	WASH
CONCENTRATE	REPEAT 2 time(s)
PURIFY by chromatography	YIELD: 5-({4-[(methylamino)methyl]-2-phenyl-1h-pyrrol-1-yl}sulfonyl)nicotinonitrile hydrochloride
MAKE SOLUTION	[END]
ADD hydrogen chloride-ethyl acetate	
STIR at 25°C for 2 h	
CONCENTRATE	
RECRYSTALLISATION with ethanol	
YIELD: 5-({4-[(methylamino)methyl]-2-phenyl-1h-pyrrol-1-yl}sulfonyl)nicotinonitrile hydrochloride	
[END]	
