A	B
[START]	[START]
ADD 4-(4-chloro-5-methylsulfanyl-6-morpholin-4-yl-pyrimidin-2-yl)-phenol	ADD 2-chloroethyl isocyanate
ADD 2-chloroethyl isocyanate	ADD DCM at 0°C
ADD toluene	ADD 4-(4-chloro-5-methylsulfanyl-6-morpholin-4-yl-pyrimidin-2-yl)-phenol
ADD DCM	STIR at 25°C for 2 h
BUBBLE Ar	REMOVE
STIR at 65°C for 16 h	ADD toluene
DRY SOLUTION	STIR at 65°C for 5 h
EVAPORATE solvent	COOL to 25°C
PARTITION	CRYSTALLISE
WASH organic phase with brine	FILTER
DRY SOLUTION with MgSO4	YIELD: (2-chloro-ethyl)-carbamic acid 4-(4-chloro-5-methylsulfanyl-6-morpholin-4-yl-pyrimidin-2-yl)-phenyl ester
FILTER	[END]
EVAPORATE	
PURIFY by chromatography	
YIELD: (2-chloro-ethyl)-carbamic acid 4-(4-chloro-5-methylsulfanyl-6-morpholin-4-yl-pyrimidin-2-yl)-phenyl ester	
[END]	
