A	B
[START]	[START]
ADD 1-[10-chloro-1-(3,5-dichloropyridin-2-yl)-2,3,4,5-tetrahydro-1h-[1,3]diazepino[1,2-a]benzimidazol-7-yl]propan-1-ol	ADD 1-[10-chloro-1-(3,5-dichloropyridin-2-yl)-2,3,4,5-tetrahydro-1h-[1,3]diazepino[1,2-a]benzimidazol-7-yl]propan-1-ol
ADD pyridine	ADD pyridine
ADD acetic anhydride at 25°C	ADD acetic anhydride
QUENCH with NaHCO3	STIR at 25°C for 5 h
ADD ethyl acetate	ADD HCl
WASH with HCl	ADD ethyl acetate
DRY SOLUTION with Na2SO4	ADD water
FILTER	EXTRACT with ethyl acetate
CONCENTRATE	REPEAT 3 time(s)
PURIFY by chromatography	CONCENTRATE organic phase
RECRYSTALLISATION with hexane	PURIFY by chromatography
YIELD: 1-[10-chloro-1-(3,5-dichloropyridin-2-yl)-2,3,4,5-tetrahydro-1h-[1,3]diazepino[1,2-a]benzimidazol-7-yl]propyl acetate	YIELD: 1-[10-chloro-1-(3,5-dichloropyridin-2-yl)-2,3,4,5-tetrahydro-1h-[1,3]diazepino[1,2-a]benzimidazol-7-yl]propyl acetate
[END]	[END]
