A	B
[START]	[START]
ADD 2-oxo-1,2-dihydropyridine-3-carbaldehyde	ADD copper(II) acetate
ADD 4-(trifluoromethoxy)phenylboronic acid	ADD 2-oxo-1,2-dihydropyridine-3-carbaldehyde
ADD copper(II) acetate	ADD 4-(trifluoromethoxy)phenylboronic acid
ADD	STIR at 25°C for 48 h
IRRADIATE at > 80°C for 20 min	PARTITION
COOL to 25°C	SEPARATE organic phase
CONCENTRATE	DRY SOLUTION
PURIFY by chromatography	EVAPORATE solvent
YIELD: 2-oxo-1-(4-(trifluoromethoxy)phenyl)-1,2-dihydropyridine-3-carbaldehyde	YIELD: 2-oxo-1-(4-(trifluoromethoxy)phenyl)-1,2-dihydropyridine-3-carbaldehyde
[END]	[END]
