A	B
[START]	[START]
ADD n-{3-[5-(2-chloro-4-pyrimidinyl)-2-(1-methylethyl)-1,3-thiazol-4-yl]phenyl}-2,6-difluorobenzenesulfonamide	ADD 2-(methylsulfonyl)ethanamine
ADD 2-(methylsulfonyl)ethanamine	ADD n-{3-[5-(2-chloro-4-pyrimidinyl)-2-(1-methylethyl)-1,3-thiazol-4-yl]phenyl}-2,6-difluorobenzenesulfonamide
HEAT to 65°C for 48 h	HEAT to > 80°C for 2 h
ADD HCl	COOL
EXTRACT with dichloromethane	ADD HCl
REPEAT 2 time(s)	PURIFY by chromatography
DRY SOLUTION organic phase with MgSO4	YIELD: 2,6-difluoro-n-{3-[2-(1-methylethyl)-5-(2-{[2-(methylsulfonyl)ethyl]amino}-4-pyrimidinyl)-1,3-thiazol-4-yl]phenyl}benzenesulfonamide
EVAPORATE	[END]
PURIFY by chromatography	
YIELD: 2,6-difluoro-n-{3-[2-(1-methylethyl)-5-(2-{[2-(methylsulfonyl)ethyl]amino}-4-pyrimidinyl)-1,3-thiazol-4-yl]phenyl}benzenesulfonamide	
[END]	
