A	B
[START]	[START]
ADD DCM	ADD 2-(dimethylamino)ethylhydrazine dihydrochloride
ADD pyridine	ADD DCM
COOL	ADD pyridine
ADD 4-nitrophenyl chloroformate	ADD 4-nitrophenyl chloroformate at < -10°C
ADD DCM for 20 min	QUENCH with methanol
STIR at 0°C for 2 h	EVAPORATE
ADD 2-(dimethylamino)ethylhydrazine dihydrochloride	ADD acetonitrile
ADD triethylamine	ADD triethylamine
ADD acetonitrile	STIR at 25°C for 16 h
HEAT to 25°C	EVAPORATE
STIR for 2 h	YIELD: 5-(4-cyanophenyl)-2-(2-dimethylaminoethyl)-7-methyl-3-oxo-2,3,5,8-tetrahydro-[1,2,4]triazolo[4,3-a]pyrimidine-6-carboxylic acid methyl ester
EVAPORATE solvent	[END]
MAKE SOLUTION	
LOAD	
STAND	
BUBBLE	
ELUTE	
EVAPORATE	
YIELD: 5-(4-cyanophenyl)-2-(2-dimethylaminoethyl)-7-methyl-3-oxo-2,3,5,8-tetrahydro-[1,2,4]triazolo[4,3-a]pyrimidine-6-carboxylic acid methyl ester	
[END]	
