A	B
[START]	[START]
ADD tert-butyl 1H-pyrrole-1-carboxylate	ADD tert-butyl 1H-pyrrole-1-carboxylate
ADD dimethyl acetylenedicarboxylate	ADD AlCl3
ADD AlCl3	ADD dimethyl acetylenedicarboxylate
STIR at 65°C for 48 h	HEAT to 65°C for 2 h
PURIFY by chromatography	COOL to 25°C
YIELD: (1r,4s)-7-tert-butyl 2,3-dimethyl 7-azabicyclo[2.2.1]hepta-2,5-diene-2,3,7-tricarboxylate	ADD
[END]	EXTRACT with ethyl acetate
	REPEAT 2 time(s)
	DRY SOLUTION organic phase with Na2SO4
	FILTER
	EVAPORATE solvent
	YIELD: (1r,4s)-7-tert-butyl 2,3-dimethyl 7-azabicyclo[2.2.1]hepta-2,5-diene-2,3,7-tricarboxylate
	[END]
