A	B
[START]	[START]
ADD 2-(((5-Fluoro-2-oxoindolin-3-ylidene)hydrazono)methyl)-2,4-dimethyl-1H-pyrrole-4-carboxylic acid	ADD triethylamine
ADD DMF	ADD DMF
STIR at 25°C	ADD EDCI
ADD EDCI	ADD hydroxybenzotriazole
ADD hydroxybenzotriazole	ADD 2-(((5-Fluoro-2-oxoindolin-3-ylidene)hydrazono)methyl)-2,4-dimethyl-1H-pyrrole-4-carboxylic acid
ADD triethylamine	STIR at 25°C for 2 h
ADD n-(2-aminophenyl)-6-(6-aminohexylamino)nicotinamide	ADD n-(2-aminophenyl)-6-(6-aminohexylamino)nicotinamide
STIR at 25°C for 16 h	STIR at 25°C for 16 h
ADD brine	CONCENTRATE
FILTER	REMOVE solvent
WASH with water	PARTITION with NaHCO3
DRY [VACUUM]	EXTRACT with ethyl acetate
YIELD: n-(2-aminophenyl)-6-(6-(2-(((5-fluoro-2-oxoindolin-3-ylidene)hydrazono)-methyl)-3,5-dimethyl-1h-pyrrole-4-carboxamido)hexylamino)nicotinamide	REPEAT 2 time(s)
[END]	WASH organic phase with brine
	DRY SOLUTION with Na2SO4
	CONCENTRATE
	WASH with brine
	DRY
	YIELD: n-(2-aminophenyl)-6-(6-(2-(((5-fluoro-2-oxoindolin-3-ylidene)hydrazono)-methyl)-3,5-dimethyl-1h-pyrrole-4-carboxamido)hexylamino)nicotinamide
	[END]
