A	B
[START]	[START]
ADD (1s,2r)-2-(3,5-difluorophenyl)cyclopentanol	ADD (1s,2r)-2-(3,5-difluorophenyl)cyclopentanol
ADD DCM	ADD Dess - Martin periodinane
ADD Dess - Martin periodinane	ADD DCM
STIR at 25°C for 2 h	STIR at 25°C for 5 h
ADD DCM	COMBINE
QUENCH	WASH with NaOH
ADD NaOH	REMOVE organic phase
COLLECT organic phase	DRY SOLUTION with Na2SO4
DRY SOLUTION with Na2SO4	FILTER
CONCENTRATE	CONCENTRATE
PURIFY by chromatography	PURIFY by chromatography
YIELD: 2-(3,5-difluorophenyl)cyclopentanone	YIELD: 2-(3,5-difluorophenyl)cyclopentanone
[END]	[END]
