A	B
[START]	[START]
ADD solution of (Z)-4-fluoro-N-(((3-(4-fluorophenyl)-1H-pyrazol-5-yl)amino)((1-hydroxy-2-methylpropan-2-yl)amino)methylene)benzamide	ADD solution of (Z)-4-fluoro-N-(((3-(4-fluorophenyl)-1H-pyrazol-5-yl)amino)((1-hydroxy-2-methylpropan-2-yl)amino)methylene)benzamide
ADD THF	ADD DIAD
ADD triphenylphosphine	ADD triphenylphosphine
ADD DIAD	ADD THF
ADD	ADD at 25°C for 20 min
STIR at 25°C for 20 min	STIR at 25°C for 20 min
PURIFY by chromatography	REMOVE
YIELD: (z)-4-fluoro-n-(8-(4-fluorophenyl)-4,4-dimethyl-4,5-dihydro-1h-pyrazolo[1,5-a][1,3,5]triazepin-2(3h)-ylidene)benzamide	PURIFY by chromatography
[END]	MAKE SOLUTION
	FILTER
	YIELD: (z)-4-fluoro-n-(8-(4-fluorophenyl)-4,4-dimethyl-4,5-dihydro-1h-pyrazolo[1,5-a][1,3,5]triazepin-2(3h)-ylidene)benzamide
	[END]
