A	B
[START]	[START]
ADD (s)-tert-butyl 2-(4-(3-ethylureido)phenyl)-4-(3-methylmorpholino)-5,6-dihydropyrido[3,4-d]pyrimidine-7(8h)-carboxylate	ADD (s)-tert-butyl 2-(4-(3-ethylureido)phenyl)-4-(3-methylmorpholino)-5,6-dihydropyrido[3,4-d]pyrimidine-7(8h)-carboxylate
ADD DCM	ADD DCM
ADD TFA	ADD TFA at 0°C
STIR at 25°C for 2 h	STIR for 48 h
CONCENTRATE	CONCENTRATE
MAKE SOLUTION	PURIFY by chromatography
CRYSTALLISE with ethyl ether	YIELD: (s)-1-ethyl-3-(4-(4-(3-methylmorpholino)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-2-yl)phenyl)urea 2,2,2-trifluoroacetate
YIELD: (s)-1-ethyl-3-(4-(4-(3-methylmorpholino)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-2-yl)phenyl)urea 2,2,2-trifluoroacetate	[END]
[END]	
