A	B
[START]	[START]
ADD morpholine	ADD 3-bromo-8-chloro-imidazo[1,2-a]pyrazine
ADD 3,8-dibromo-imidazo[1,2-a]pyrazine	ADD 3,8-dibromo-imidazo[1,2-a]pyrazine
ADD DIPEA	ADD acetonitrile
ADD acetonitrile	ADD sodium carbonate
ADD 3-bromo-8-chloro-imidazo[1,2-a]pyrazine	ADD morpholine
STIR at 65°C for 5 h	ADD DIPEA at 25°C
EVAPORATE solvent	STIR at 25°C for 16 h
MAKE SOLUTION with DCM	CONCENTRATE
WASH with Na2CO3	ADD DCM
SEPARATE organic phase	ADD
DRY SOLUTION with Na2SO4	SEPARATE organic phase
FILTER	DRY SOLUTION with Na2SO4
EVAPORATE solvent	FILTER
PURIFY by chromatography	CONCENTRATE
COLLECT fractions	YIELD: 3-bromo-8-morpholin-4-yl-imidazo[1,2-a]pyrazine
EVAPORATE	[END]
CRYSTALLISE with ethyl ether	
YIELD: 3-bromo-8-morpholin-4-yl-imidazo[1,2-a]pyrazine	
[END]	
