A	B
[START]	[START]
ADD tert-butyl 4-((3-bromopyridin-2-yl)oxy)piperidine-1-carboxylate	ADD tert-butyl 4-((3-bromopyridin-2-yl)oxy)piperidine-1-carboxylate
ADD morpholine	ADD morpholine
ADD Pd2(dba)3	ADD BINAP
ADD 2,2′-bis(diphenylphosphino)-1,1′-binaphthyl	ADD 2,2′-bis(diphenylphosphino)-1,1′-binaphthyl
ADD BINAP	ADD Pd2(dba)3
ADD sodium tert-butoxide	ADD sodium tert-butoxide
ADD sodium tert-butoxide	BUBBLE
STIR at > 80°C for 48 h	ADD
STAND at 25°C	IRRADIATE at > 80°C for 20 min
FILTER	ADD DCM
WASH with dichloromethane	FILTER
REPEAT 3 time(s)	CONCENTRATE
EVAPORATE	PURIFY by chromatography
PURIFY by chromatography	DRY [FREEZE-DRYING] fractions
YIELD: tert-butyl 4-((3-morpholinopyridin-2-yl)oxy)piperidine-1-carboxylate	YIELD: tert-butyl 4-((3-morpholinopyridin-2-yl)oxy)piperidine-1-carboxylate
[END]	[END]
