A	B
[START]	[START]
ADD (1S,2R)-2-amino-cyclopentanecarboxylic acid methyl ester hydrochloride	ADD sodium borohydride
ADD THF at 25°C	ADD (1S,2R)-2-amino-cyclopentanecarboxylic acid methyl ester hydrochloride
STIR at 25°C for 16 h	ADD THF
ADD	ADD methanol at 25°C
CONCENTRATE	STIR at 65°C for 2 h
DRY [VACUUM]	QUENCH with NaHCO3
MAKE SOLUTION with methanol	EXTRACT with dichloromethane
ADD sodium borohydride	WASH organic phase with NaHCO3
STIR at 25°C for 2 h	DRY SOLUTION with Na2SO4
ADD NaHCO3	FILTER
EXTRACT with ethyl acetate	CONCENTRATE
DRY SOLUTION organic phase with MgSO4	PURIFY by chromatography
FILTER	YIELD: (1s,2r)-2-(4-fluoro-benzylamino)-cyclopentanecarboxylic acid methyl ester
CONCENTRATE	[END]
PURIFY by chromatography	
YIELD: (1s,2r)-2-(4-fluoro-benzylamino)-cyclopentanecarboxylic acid methyl ester	
[END]	
