A	B
[START]	[START]
ADD ethanol	ADD ethanol
REFLUX for 2 h	ADD potassium tert-butoxide
ADD potassium tert-butoxide at 25°C	STIR at > 80°C for 2 h
STIR under reflux for 20 min	COOL
MAKE SOLUTION with water	STAND at 0°C
SET PH with HCl	ADD water
EXTRACT with ethyl acetate	SET PH with HCl to 7
REPEAT 2 time(s)	SEPARATE
DRY SOLUTION organic phase with MgSO4	EXTRACT with ethyl acetate
FILTER	DRY SOLUTION organic phase with Na2SO4
CONCENTRATE	EVAPORATE
PARTITION	PURIFY by chromatography
FILTER	YIELD: ethyl 2,4-dioxo-1-(1,3,3-trimethyl-2-oxo-2,3-dihydro-1h-indol-6-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate
WASH with ethyl acetate	[END]
DRY [VACUUM]	
CRYSTALLISE	
FILTER	
DRY [VACUUM]	
YIELD: ethyl 2,4-dioxo-1-(1,3,3-trimethyl-2-oxo-2,3-dihydro-1h-indol-6-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	
[END]	
