A	B
[START]	[START]
ADD 5-(chloroacetamido)-1,4-dimethyl-pyrazole	ADD DMF
ADD DMF	ADD benzylamine
ADD benzylamine	COOL to 0°C
HEAT to > 80°C for 2 h	ADD 5-(chloroacetamido)-1,4-dimethyl-pyrazole
ADD water	STIR at 0°C for 2 h
EXTRACT with dichloromethane	HEAT to 25°C
WASH	ADD water
DRY SOLUTION with Na2SO4	EXTRACT with ethyl acetate
EVAPORATE	REPEAT 3 time(s)
RECRYSTALLISATION with ethyl acetate	WASH organic phase with brine
YIELD: 5-(benzylamino-acetamido)-1,4-dimethyl-pyrazole	DRY SOLUTION with MgSO4
[END]	FILTER
	CONCENTRATE
	PURIFY by chromatography
	PURIFY by chromatography
	YIELD: 5-(benzylamino-acetamido)-1,4-dimethyl-pyrazole
	[END]
