A	B
[START]	[START]
ADD methanol	ADD Pd / C
ADD Pd / C	ADD acetone
STIR at 25°C for 16 h	ADD methanol
FILTER	ADD NaOH
CONCENTRATE filtrate	STIR
MAKE SOLUTION with acetone	SEPARATE
ADD NaOH at 0°C	SET PH with HCl
STIR at 25°C for 16 h	EXTRACT with ethyl acetate
ADD HCl	DRY SOLUTION organic phase with Na2SO4
EXTRACT with dichloromethane	FILTER
REPEAT 3 time(s)	EVAPORATE
DRY SOLUTION extracts with MgSO4	YIELD: (r)-4-(tert-butoxycarbonylamino)-2-methyl-5-phenylpentanoic acid
FILTER	[END]
CONCENTRATE	
YIELD: (r)-4-(tert-butoxycarbonylamino)-2-methyl-5-phenylpentanoic acid	
[END]	
