A	B
[START]	[START]
ADD 4-hydroxybutyl methyl phthalate	ADD 4-hydroxybutyl methyl phthalate
ADD acetone at 0°C	ADD acetone
QUENCH	STIR at 25°C
ADD ethyl acetate	HEAT to 65°C
FILTER	STIR at 25°C for 16 h
WASH with ethyl acetate	CONCENTRATE
WASH with brine	ADD ethyl acetate
REPEAT 2 time(s)	WASH with brine
DRY SOLUTION with Na2SO4	REPEAT 2 time(s)
CONCENTRATE	DRY SOLUTION organic phase with Na2SO4
PURIFY by chromatography	EVAPORATE
YIELD: 4-(2-(methoxycarbonyl)benzoyloxy)butanoic acid	YIELD: 4-(2-(methoxycarbonyl)benzoyloxy)butanoic acid
[END]	[END]
