A	B
[START]	[START]
ADD 4-(6-chloro-4-(ethoxycarbonyl)chroman-7-yloxy)benzoic acid	ADD 4-(6-chloro-4-(ethoxycarbonyl)chroman-7-yloxy)benzoic acid
ADD 1-hydroxybenzotriazole hydrate	ADD DMF
ADD 2-(6-cyclopropyl-2-methoxypyridin-3-yl)ethanamine	ADD 1-hydroxybenzotriazole hydrate
ADD DMF	ADD 2-(6-cyclopropyl-2-methoxypyridin-3-yl)ethanamine
ADD	STIR at 25°C
STIR for 5 h	QUENCH with water
LOAD	EXTRACT with ethyl acetate
ELUTE	DRY SOLUTION organic phase with Na2SO4
YIELD: ethyl 6-chloro-7-(4-(2-(6-cyclopropyl-2-methoxypyridin-3-yl)ethylcarbamoyl)phenoxy)chroman-4-carboxylate	FILTER
[END]	CONCENTRATE filtrate
	PURIFY by chromatography
	YIELD: ethyl 6-chloro-7-(4-(2-(6-cyclopropyl-2-methoxypyridin-3-yl)ethylcarbamoyl)phenoxy)chroman-4-carboxylate
	[END]
