A	B
[START]	[START]
ADD THF	ADD THF
ADD methanol	ADD sodium borohydride
ADD sodium borohydride	STIR at 65°C for 2 h
STIR at 25°C for 16 h	ADD methanol
REMOVE solvent	COOL to 0°C
MAKE SOLUTION	ADD
WASH with brine	STIR at 0°C for 20 min
YIELD: tert-butyl (2-hydroxy-1-(pyrazin-2-yl)ethyl)carbamate	ADD
[END]	SEPARATE organic phase
	EXTRACT with ethyl acetate
	WASH with brine
	DRY SOLUTION with Na2SO4
	EVAPORATE
	PURIFY by chromatography
	YIELD: tert-butyl (2-hydroxy-1-(pyrazin-2-yl)ethyl)carbamate
	[END]
