A	B
[START]	[START]
ADD 1-(2-fluoro-4-iodophenyl)-3-methyl-6-methylamino-1H-pyrimidine-2,4-dione	ADD diethyl malonate
ADD diethyl malonate	ADD 1-(2-fluoro-4-iodophenyl)-3-methyl-6-methylamino-1H-pyrimidine-2,4-dione
ADD diphenyl ether	ADD diphenyl ether at 25°C
HEAT to > 80°C	HEAT to > 80°C for 16 h
STIR for 2 h	EVAPORATE solvent
CONCENTRATE	PURIFY by chromatography
PURIFY by chromatography	YIELD: 3-methyl-1-(2-fluoro-4-iodophenyl)-5-hydroxy-8-methylpyrido[2,3-d]pyrimidine-2,4,7(1h,3h,8h)-trione
YIELD: 3-methyl-1-(2-fluoro-4-iodophenyl)-5-hydroxy-8-methylpyrido[2,3-d]pyrimidine-2,4,7(1h,3h,8h)-trione	[END]
[END]	
