A	B
[START]	[START]
ADD 6-(4-Fluoro-3-methylphenyl)-2-isobutyl-4-methanesulfonyloxymethyl-2H-pyridazin-3-one	ADD 6-(4-Fluoro-3-methylphenyl)-2-isobutyl-4-methanesulfonyloxymethyl-2H-pyridazin-3-one
ADD piperidine	ADD piperidine
ADD ethanol	ADD ethanol at 25°C
HEAT to 65°C for 2 h	MICROWAVE at > 80°C for 16 h
STIR	QUENCH with water
DISTIL	EXTRACT with ethyl acetate
PURIFY by chromatography	REPEAT 3 time(s)
YIELD: 6-(4-fluoro-3-methylphenyl)-2-isobutyl-4-(piperidino)methyl-2h-pyridazin-3-one	DRY SOLUTION organic phase with Na2SO4
[END]	CONCENTRATE
	PURIFY by chromatography
	YIELD: 6-(4-fluoro-3-methylphenyl)-2-isobutyl-4-(piperidino)methyl-2h-pyridazin-3-one
	[END]
