A	B
[START]	[START]
ADD tert-butyl [2-({[5-(5-fluoropentyl)-1-(4-{[(2,2,2-trifluoroethyl)amino]carbonyl}phenyl)-1H-1,2,3-triazol-4-yl]carbonyl}amino)ethyl]carbamate	ADD tert-butyl [2-({[5-(5-fluoropentyl)-1-(4-{[(2,2,2-trifluoroethyl)amino]carbonyl}phenyl)-1H-1,2,3-triazol-4-yl]carbonyl}amino)ethyl]carbamate
ADD ethyl acetate	ADD ethyl acetate
ADD HCl	ADD HCl at 25°C
ADD	HEAT to 65°C for 2 h
STIR at 25°C for 48 h	CONCENTRATE
EVAPORATE solvent	MAKE SOLUTION
ADD	WASH with dichloromethane
FILTER	REPEAT 1 time(s)
YIELD: n-(2-aminoethyl)-5-(5-fluoropentyl)-1-(4-{[(2,2,2-trifluoroethyl)amino]carbonyl}phenyl)-1h-1,2,3-triazole-4-carboxamide monohydrochloride	DRY SOLUTION organic phase with MgSO4
[END]	FILTER
	CONCENTRATE
	PURIFY by chromatography
	YIELD: n-(2-aminoethyl)-5-(5-fluoropentyl)-1-(4-{[(2,2,2-trifluoroethyl)amino]carbonyl}phenyl)-1h-1,2,3-triazole-4-carboxamide monohydrochloride
	[END]
