A	B
[START]	[START]
ADD DIPEA	ADD DIPEA
ADD THF	ADD THF
ADD acryloyl chloride at 0°C for 20 min	ADD acryloyl chloride
STIR at 0°C for 2 h	STIR at 25°C for 20 min
QUENCH with water	REFLUX for 16 h
STIR for 20 min	COOL
SEPARATE	QUENCH with NaHCO3
REMOVE solvent	EXTRACT with ethyl acetate
PURIFY by chromatography	WASH organic phase with brine
YIELD: n-(3-(2-(3-fluoro-4-(2-methoxyethoxy)phenylamino)-7h-pyrrolo[2,3-d]pyrimidin-4-yloxy)phenyl)acrylamide	DRY SOLUTION with Na2SO4
[END]	CONCENTRATE
	YIELD: n-(3-(2-(3-fluoro-4-(2-methoxyethoxy)phenylamino)-7h-pyrrolo[2,3-d]pyrimidin-4-yloxy)phenyl)acrylamide
	[END]
