A	B
[START]	[START]
ADD methyl 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylate	ADD methyl 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylate
ADD methanol	ADD NaOH
ADD water	ADD water
ADD NaOH	ADD methanol at 25°C
STIR at 25°C for 48 h	STAND at 65°C for 2 h
CONCENTRATE	REMOVE solvent
MAKE SOLUTION with water	SET PH with AcOH
SET PH with AcOH to 5	CRYSTALLISE with water
FILTER	WASH with methanol
YIELD: 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylic acid	DRY
[END]	YIELD: 2-(2-methyl-1h-indol-5-yl)-3-[(2s)-2-methylpyrrolidin-1-yl]quinoxaline-6-carboxylic acid
	[END]
