A	B
[START]	[START]
ADD N-(4-(5-((1R,2S)-2-(tert-butyldimethylsilyloxy)-1-(3-chloro-4-cyano-2-methylphenylamino)propyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide	ADD TBAF
ADD THF	ADD N-(4-(5-((1R,2S)-2-(tert-butyldimethylsilyloxy)-1-(3-chloro-4-cyano-2-methylphenylamino)propyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide
ADD TBAF	ADD THF
ADD at < -10°C for 20 min	ADD at 0°C
ADD	HEAT to 25°C
HEAT to 25°C for 2 h	STIR at 25°C
QUENCH	COOL to 0°C
PARTITION	QUENCH with HCl
EXTRACT with ethyl acetate	EXTRACT with ethyl acetate
DRY SOLUTION extracts with Na2SO4	REPEAT 3 time(s)
FILTER	WASH extracts with brine
CONCENTRATE	DRY SOLUTION with Na2SO4
PURIFY by chromatography	FILTER
YIELD: n-(4-(5-((1r,2s)-1-(3-chloro-4-cyano-2-methylphenylamino)-2-hydroxypropyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide	CONCENTRATE
[END]	PURIFY by chromatography
	YIELD: n-(4-(5-((1r,2s)-1-(3-chloro-4-cyano-2-methylphenylamino)-2-hydroxypropyl)-1,3,4-oxadiazol-2-yl)phenyl)acetamide
	[END]
